activity_nr,rel_type,rel_act_nr,rel_safety,rel_health,load_dt
344636477,C,1541019,X,,2020-08-17 00:28:26 EDT
344636485,C,1539838,,X,2020-08-17 00:28:26 EDT
344636543,C,1540397,,X,2020-08-17 00:28:26 EDT
344636550,R,1530917,X,,2020-08-17 00:28:26 EDT
344636568,R,1545071,X,,2020-08-17 00:28:26 EDT
344636592,A,1520443,,,2020-08-17 00:28:26 EDT
344636618,R,1542880,X,,2020-08-17 00:28:26 EDT
344636634,R,1530917,X,,2020-08-17 00:28:26 EDT
344636642,R,1545095,X,,2020-08-17 00:28:26 EDT
344636667,A,1544427,,,2020-08-17 00:28:26 EDT
344636675,C,1539872,,X,2020-08-17 00:28:26 EDT
344636709,R,1541523,X,,2020-08-17 00:28:26 EDT
344636709,R,1541523,,X,2020-08-17 00:28:26 EDT
344636725,C,1542754,X,,2020-08-17 00:28:26 EDT
344636725,C,1542754,,X,2020-08-17 00:28:26 EDT
344636741,C,1545107,X,,2020-08-17 00:28:26 EDT
344636758,R,1545121,X,,2020-08-17 00:28:26 EDT
344636774,C,1544347,X,,2020-08-17 00:28:26 EDT
344636808,R,1530917,X,,2020-08-17 00:28:26 EDT
344636832,A,1545070,,,2020-08-17 00:28:26 EDT
344636873,R,1530917,X,,2020-08-17 00:28:26 EDT
344636881,C,1542722,,X,2020-08-17 00:28:26 EDT
344636899,C,1543332,X,,2020-08-17 00:28:26 EDT
344636923,C,1544705,X,,2020-08-17 00:28:26 EDT
344636956,C,1539043,X,,2020-08-17 00:28:26 EDT
344636956,C,1539043,,X,2020-08-17 00:28:26 EDT
344636980,C,1540861,X,,2020-08-17 00:28:26 EDT
344636980,C,1540861,,X,2020-08-17 00:28:26 EDT
344637012,R,1543222,X,,2020-08-17 00:28:26 EDT
344637046,R,1540605,X,,2020-08-17 00:28:26 EDT
344637053,C,1543952,X,,2020-08-17 00:28:26 EDT
344637053,C,1543952,,X,2020-08-17 00:28:26 EDT
344637079,C,1545159,,X,2020-08-17 00:28:26 EDT
344637095,C,1543952,X,,2020-08-17 00:28:26 EDT
344637095,C,1543952,,X,2020-08-17 00:28:26 EDT
344637103,R,1544548,,X,2020-08-17 00:28:26 EDT
344637103,R,1544548,X,,2020-08-17 00:28:26 EDT
344637103,R,1544797,X,,2020-08-17 00:28:26 EDT
