activity_nr,prog_type,prog_value,load_dt
344730569,P,HOSP,2020-08-17 00:29:01 EDT
344730601,P,CONSTR,2020-08-17 00:29:01 EDT
344730601,S,CONSTR,2020-08-17 00:29:01 EDT
344730627,P,MD,2020-08-17 00:29:01 EDT
344730627,S,MD,2020-08-17 00:29:01 EDT
344730635,P,MD,2020-08-17 00:29:01 EDT
344730635,S,MD,2020-08-17 00:29:01 EDT
344730643,P,MD,2020-08-17 00:29:01 EDT
344730643,S,MD,2020-08-17 00:29:01 EDT
344730650,P,MD,2020-08-17 00:29:01 EDT
344730650,S,MD,2020-08-17 00:29:01 EDT
344730668,P,MD,2020-08-17 00:29:01 EDT
344730668,S,MD,2020-08-17 00:29:01 EDT
344730676,P,CONSTR,2020-08-17 00:29:01 EDT
344730676,S,CONSTR,2020-08-17 00:29:01 EDT
344730684,P,CONSTR,2020-08-17 00:29:01 EDT
344730684,S,CONSTR,2020-08-17 00:29:01 EDT
344730692,P,FALL,2020-08-17 00:29:01 EDT
344730692,S,FALL,2020-08-17 00:29:01 EDT
344730700,P,FALL,2020-08-17 00:29:01 EDT
344730700,S,FALL,2020-08-17 00:29:01 EDT
344730726,N,TRENCH,2020-08-17 00:29:01 EDT
344730726,P,TRENCH,2020-08-17 00:29:01 EDT
344730734,L,XFALLELEC,2020-08-17 00:29:01 EDT
344730734,P,XFALLELEC,2020-08-17 00:29:01 EDT
344730742,N,CTARGET,2020-08-17 00:29:01 EDT
344730742,P,CTARGET,2020-08-17 00:29:01 EDT
344730759,P,FALL,2020-08-17 00:29:01 EDT
344730759,S,FALL,2020-08-17 00:29:01 EDT
344730775,P,FALL,2020-08-17 00:29:01 EDT
344730775,S,FALL,2020-08-17 00:29:01 EDT
344730783,L,FALL,2020-08-17 00:29:01 EDT
344730783,P,FALL,2020-08-17 00:29:01 EDT
344730791,L,XFALLELEC,2020-08-17 00:29:01 EDT
344730791,P,XFALLELEC,2020-08-17 00:29:01 EDT
344730817,L,FALL,2020-08-17 00:29:01 EDT
344730825,L,FALL,2020-08-17 00:29:01 EDT
344730825,P,FALL,2020-08-17 00:29:01 EDT
344730833,L,FALL,2020-08-17 00:29:01 EDT
344730833,P,FALL,2020-08-17 00:29:01 EDT
344730841,L,REPVEHICLE,2020-08-17 00:29:01 EDT
344730841,L,XFALLELEC,2020-08-17 00:29:01 EDT
344730841,P,XFALLELEC,2020-08-17 00:29:01 EDT
344730858,P,FALL,2020-08-17 00:29:01 EDT
344730858,S,FALL,2020-08-17 00:29:01 EDT
344730866,L,FALL,2020-08-17 00:29:01 EDT
344730874,L,FALL,2020-08-17 00:29:01 EDT
344730890,P,HEALTH GENERAL SCHEDULE,2020-08-17 00:29:01 EDT
344730890,S,HEALTH GENERAL SCHEDULE,2020-08-17 00:29:01 EDT
344730908,N,TRENCH,2020-08-17 00:29:01 EDT
344730908,P,TRENCH,2020-08-17 00:29:01 EDT
344730908,S,PERMIT,2020-08-17 00:29:01 EDT
344730932,N,CTARGET,2020-08-17 00:29:01 EDT
344730932,P,CTARGET,2020-08-17 00:29:01 EDT
344730965,L,FALL,2020-08-17 00:29:01 EDT
344730973,P,LEAD,2020-08-17 00:29:01 EDT
344730973,S,LEAD,2020-08-17 00:29:01 EDT
344730981,L,CONSTR6,2020-08-17 00:29:01 EDT
344730981,N,CTARGET,2020-08-17 00:29:01 EDT
344730981,P,CONSTR6,2020-08-17 00:29:01 EDT
344730999,L,XFALLELEC,2020-08-17 00:29:01 EDT
344731039,L,REPVEHICLE,2020-08-17 00:29:01 EDT
344731039,L,XFALLELEC,2020-08-17 00:29:01 EDT
344731039,P,XFALLELEC,2020-08-17 00:29:01 EDT
344731047,P,FALL,2020-08-17 00:29:01 EDT
344731047,S,FALL,2020-08-17 00:29:01 EDT
344731096,N,CTARGET,2020-08-17 00:29:01 EDT
344731104,N,CTARGET,2020-08-17 00:29:01 EDT
344731104,P,CTARGET,2020-08-17 00:29:01 EDT
344731112,L,FALL,2020-08-17 00:29:01 EDT
344731112,P,FALL,2020-08-17 00:29:01 EDT
344731138,L,FALL,2020-08-17 00:29:01 EDT
344731138,P,FALL,2020-08-17 00:29:01 EDT
344731146,L,CONSTR6,2020-08-17 00:29:01 EDT
344731195,P,ASBESTOS,2020-08-17 00:29:01 EDT
344731195,S,ASBESTOS,2020-08-17 00:29:01 EDT
344731245,P,FALL,2020-08-17 00:29:01 EDT
344731245,S,FALL,2020-08-17 00:29:01 EDT
344731252,N,CTARGET,2020-08-17 00:29:01 EDT
344731252,P,CTARGET,2020-08-17 00:29:01 EDT
344731278,P,RESCON,2020-08-17 00:29:01 EDT
344731278,S,RESCON,2020-08-17 00:29:01 EDT
344731302,N,CTARGET,2020-08-17 00:29:01 EDT
344731302,P,CTARGET,2020-08-17 00:29:01 EDT
344731328,N,CTARGET,2020-08-17 00:29:01 EDT
344731328,P,CTARGET,2020-08-17 00:29:01 EDT
344731336,N,TRENCH,2020-08-17 00:29:01 EDT
344731369,N,AMPUTATE,2020-08-17 00:29:01 EDT
344731369,P,AMPUTATE,2020-08-17 00:29:01 EDT
344731369,S,AMPUTATE,2020-08-17 00:29:01 EDT
344731377,N,CTARGET,2020-08-17 00:29:01 EDT
344731377,P,CTARGET,2020-08-17 00:29:01 EDT
344731393,L,REPVEHICLE,2020-08-17 00:29:01 EDT
344731393,L,XFALLELEC,2020-08-17 00:29:01 EDT
344731393,P,XFALLELEC,2020-08-17 00:29:01 EDT
344731419,S,HH,2020-08-17 00:29:01 EDT
344731427,L,FALL,2020-08-17 00:29:01 EDT
344731443,N,CTARGET,2020-08-17 00:29:01 EDT
344731443,P,CTARGET,2020-08-17 00:29:01 EDT
344731468,N,CTARGET,2020-08-17 00:29:01 EDT
344731468,L,CONSTR6,2020-08-17 00:29:01 EDT
344731468,P,CONSTR6,2020-08-17 00:29:01 EDT
344731492,N,CTARGET,2020-08-17 00:29:01 EDT
344731492,P,CTARGET,2020-08-17 00:29:01 EDT
344731526,N,CTARGET,2020-08-17 00:29:01 EDT
344731526,P,CTARGET,2020-08-17 00:29:01 EDT
344731534,S,HHPI,2020-08-17 00:29:01 EDT
344731542,N,CTARGET,2020-08-17 00:29:01 EDT
344731542,P,CTARGET,2020-08-17 00:29:01 EDT
344731575,N,CTARGET,2020-08-17 00:29:01 EDT
344731575,P,CTARGET,2020-08-17 00:29:01 EDT
344731583,N,CTARGET,2020-08-17 00:29:01 EDT
344731583,P,CTARGET,2020-08-17 00:29:01 EDT
344731591,N,CTARGET,2020-08-17 00:29:01 EDT
344731591,P,CTARGET,2020-08-17 00:29:01 EDT
344731617,N,CTARGET,2020-08-17 00:29:01 EDT
344731617,P,CTARGET,2020-08-17 00:29:01 EDT
344731633,N,TRENCH,2020-08-17 00:29:01 EDT
344731633,P,TRENCH,2020-08-17 00:29:01 EDT
344731633,S,PERMIT,2020-08-17 00:29:01 EDT
344731641,N,CTARGET,2020-08-17 00:29:01 EDT
344731641,P,CTARGET,2020-08-17 00:29:01 EDT
344731658,N,TRENCH,2020-08-17 00:29:01 EDT
344731658,S,PERMIT,2020-08-17 00:29:01 EDT
344731658,P,TRENCH,2020-08-17 00:29:01 EDT
344731666,N,CTARGET,2020-08-17 00:29:01 EDT
344731666,P,CTARGET,2020-08-17 00:29:01 EDT
344731674,N,CTARGET,2020-08-17 00:29:01 EDT
344731674,P,CTARGET,2020-08-17 00:29:01 EDT
344731690,N,CTARGET,2020-08-17 00:29:01 EDT
344731690,P,CTARGET,2020-08-17 00:29:01 EDT
344731716,N,CTARGET,2020-08-17 00:29:01 EDT
344731716,P,CTARGET,2020-08-17 00:29:01 EDT
344731757,S,LOGGING,2020-08-17 00:29:01 EDT
344731849,S,DANGER,2020-08-17 00:29:01 EDT
344731930,P,FALL,2020-08-17 00:29:01 EDT
344731930,S,FALL,2020-08-17 00:29:01 EDT
344731997,L,FALL,2020-08-17 00:29:01 EDT
344731997,P,FALL,2020-08-17 00:29:01 EDT
344732003,L,FALL,2020-08-17 00:29:01 EDT
344732011,L,FALL,2020-08-17 00:29:01 EDT
344732011,P,FALL,2020-08-17 00:29:01 EDT
344732029,L,FALL,2020-08-17 00:29:01 EDT
344732086,P,RESCON,2020-08-17 00:29:01 EDT
344732086,S,RESCON,2020-08-17 00:29:01 EDT
344732102,N,TRENCH,2020-08-17 00:29:01 EDT
344732102,P,TRENCH,2020-08-17 00:29:01 EDT
344732102,S,PERMIT,2020-08-17 00:29:01 EDT
344732144,L,FALL,2020-08-17 00:29:01 EDT
344732144,P,FALL,2020-08-17 00:29:01 EDT
344732151,P,PERMIT,2020-08-17 00:29:01 EDT
344732151,S,PERMIT,2020-08-17 00:29:01 EDT
344732169,P,PERMIT,2020-08-17 00:29:01 EDT
344732169,S,PERMIT,2020-08-17 00:29:01 EDT
344732177,P,PERMIT,2020-08-17 00:29:01 EDT
344732177,S,PERMIT,2020-08-17 00:29:01 EDT
344732193,P,RESCON,2020-08-17 00:29:01 EDT
344732193,S,RESCON,2020-08-17 00:29:01 EDT
344732219,L,FALL,2020-08-17 00:29:01 EDT
344732235,P,ASBESTOS,2020-08-17 00:29:01 EDT
344732235,S,ASBESTOS,2020-08-17 00:29:01 EDT
344732250,N,TRENCH,2020-08-17 00:29:01 EDT
344732276,L,XFALLELEC,2020-08-17 00:29:01 EDT
344732284,L,FALL,2020-08-17 00:29:01 EDT
344732284,P,FALL,2020-08-17 00:29:01 EDT
344732383,N,TRENCH,2020-08-17 00:29:01 EDT
344732383,L,CONSTR6,2020-08-17 00:29:01 EDT
344732409,N,TRENCH,2020-08-17 00:29:01 EDT
344732409,P,PERMIT,2020-08-17 00:29:01 EDT
344732409,S,PERMIT,2020-08-17 00:29:01 EDT
344732417,L,FALL,2020-08-17 00:29:01 EDT
344732417,P,FALL,2020-08-17 00:29:01 EDT
344732490,P,HHUNIT,2020-08-17 00:29:01 EDT
344732490,S,HHUNIT,2020-08-17 00:29:01 EDT
344732524,S,ASBESTOS,2020-08-17 00:29:01 EDT
344732524,S,PERMIT,2020-08-17 00:29:01 EDT
344732532,S,HH,2020-08-17 00:29:01 EDT
344732581,S,FALL,2020-08-17 00:29:01 EDT
344732698,S,FALL,2020-08-17 00:29:01 EDT
344732706,N,AMPUTATE,2020-08-17 00:29:01 EDT
344732706,S,GUARDLOCK/AMPUTATE,2020-08-17 00:29:01 EDT
344732748,P,RESCON,2020-08-17 00:29:01 EDT
344732748,S,RESCON,2020-08-17 00:29:01 EDT
344732763,S,FALL,2020-08-17 00:29:01 EDT
344732797,S,FALL,2020-08-17 00:29:01 EDT
344732839,S,HHPI,2020-08-17 00:29:01 EDT
344732904,N,AMPUTATE,2020-08-17 00:29:01 EDT
344732961,S,PESTICIDE,2020-08-17 00:29:01 EDT
344732961,P,PESTICIDE,2020-08-17 00:29:01 EDT
344733027,P,HEAT,2020-08-17 00:29:01 EDT
344733027,S,HEAT,2020-08-17 00:29:01 EDT
344733050,P,HOSP,2020-08-17 00:29:01 EDT
344733050,S,HOSP,2020-08-17 00:29:01 EDT
344733084,P,CONSTR,2020-08-17 00:29:01 EDT
344733084,S,CONSTR,2020-08-17 00:29:01 EDT
344733167,S,AGRI,2020-08-17 00:29:01 EDT
344733167,P,AGRI,2020-08-17 00:29:01 EDT
344733209,P,AGRI,2020-08-17 00:29:01 EDT
344733209,S,AGRI,2020-08-17 00:29:01 EDT
344733217,P,CONSTR,2020-08-17 00:29:01 EDT
344733217,S,CONSTR,2020-08-17 00:29:01 EDT
344733233,P,CONSTR,2020-08-17 00:29:01 EDT
344733233,S,CONSTR,2020-08-17 00:29:01 EDT
344733241,P,CONSTR,2020-08-17 00:29:01 EDT
344733241,S,CONSTR,2020-08-17 00:29:01 EDT
344733258,P,AGRI,2020-08-17 00:29:01 EDT
344733258,S,AGRI,2020-08-17 00:29:01 EDT
344733282,P,CONSTR,2020-08-17 00:29:01 EDT
344733282,S,CONSTR,2020-08-17 00:29:01 EDT
344733290,L,FALL,2020-08-17 00:29:01 EDT
344733316,S,WPV,2020-08-17 00:29:01 EDT
344733332,N,TRENCH,2020-08-17 00:29:01 EDT
344733332,P,TRENCH,2020-08-17 00:29:01 EDT
344733340,L,FALL,2020-08-17 00:29:01 EDT
344733340,P,FALL,2020-08-17 00:29:01 EDT
344733365,P,GUARDLOCK/AMPUTATE,2020-08-17 00:29:01 EDT
344733365,S,GUARDLOCK/AMPUTATE,2020-08-17 00:29:01 EDT
344733373,P,GUARDLOCK/AMPUTATE,2020-08-17 00:29:01 EDT
344733373,S,GUARDLOCK/AMPUTATE,2020-08-17 00:29:01 EDT
344733381,P,FALL,2020-08-17 00:29:01 EDT
344733381,S,FALL,2020-08-17 00:29:01 EDT
344733399,P,GUARDLOCK/AMPUTATE,2020-08-17 00:29:01 EDT
344733399,S,GUARDLOCK/AMPUTATE,2020-08-17 00:29:01 EDT
344733431,P,FALL,2020-08-17 00:29:01 EDT
344733431,S,FALL,2020-08-17 00:29:01 EDT
344733449,S,FALL,2020-08-17 00:29:01 EDT
344733464,N,CTARGET,2020-08-17 00:29:01 EDT
344733464,P,CTARGET,2020-08-17 00:29:01 EDT
344733472,S,AMPUTATE,2020-08-17 00:29:01 EDT
